Z,symbol,even_range,pronic_endpoints,pronic_chains,total
727,,4,0,310,314
728,,3,3,130,136
729,,3,0,130,133
730,,2,3,59,64
731,,2,0,59,61
732,,3,3,78,84
733,,3,0,78,81
734,,0,1,2,3
735,,0,0,2,2
736,,1,1,254,256
737,,1,0,254,255
738,,4,5,213,222
739,,4,0,213,217
740,,3,3,209,215
741,,3,0,209,212
742,,2,3,116,121
743,,2,0,116,118
744,,3,3,310,316
745,,3,0,310,313
746,,0,1,2,3
747,,0,0,2,2
748,,3,3,200,206
749,,3,0,200,203
750,,5,7,486,498
751,,5,0,486,491
752,,1,1,121,123
753,,1,0,121,122
754,,1,3,407,411
755,,1,0,407,408
756,,6,7,700,713
757,,6,0,700,706
758,,0,1,2,3
759,,0,0,2,2
760,,3,3,212,218
761,,3,0,212,215
762,,2,3,22,27
763,,2,0,22,24
764,,1,1,7,9
765,,1,0,7,8
766,,0,1,2,3
767,,0,0,2,2
768,,1,1,4,6
769,,1,0,4,5
770,,6,7,461,474
771,,6,0,461,467
772,,1,1,7,9
773,,1,0,7,8
774,,4,5,213,222
775,,4,0,213,217
776,,1,1,29,31
777,,1,0,29,30
778,,0,1,2,3
779,,0,0,2,2
780,,7,7,465,479
781,,7,0,465,472
782,,2,3,393,398
783,,2,0,393,395
784,,2,2,143,147
785,,2,0,143,145
786,,2,3,22,27
787,,2,0,22,24
788,,1,1,7,9
789,,1,0,7,8
790,,2,3,59,64
791,,2,0,59,61
792,,5,5,403,413
793,,5,0,403,408
794,,0,1,2,3
795,,0,0,2,2
796,,1,1,7,9
797,,1,0,7,8
798,,6,7,519,532
799,,6,0,519,525
800,,1,2,312,315
801,,1,0,312,313
802,,0,0,0,0
803,,0,0,0,0
804,,3,3,78,84
805,,3,0,78,81
806,,1,2,405,408
807,,1,0,405,406
808,,1,1,29,31
809,,1,0,29,30
810,,7,8,726,741
811,,7,0,726,733
812,,2,3,408,413
813,,2,0,408,410
814,,2,2,288,292
815,,2,0,288,290
816,,3,3,262,268
817,,3,0,262,265
818,,0,0,0,0
819,,0,0,0,0
820,,3,3,209,215
821,,3,0,209,212
822,,2,2,20,24
823,,2,0,20,22
824,,1,1,29,31
825,,1,0,29,30
826,,2,2,114,118
827,,2,0,114,116
828,,5,5,369,379
829,,5,0,369,374
830,,2,2,57,61
831,,2,0,57,59
832,,1,1,79,81
833,,1,0,79,80
834,,2,2,20,24
835,,2,0,20,22
836,,3,3,235,241
837,,3,0,235,238
838,,0,0,0,0
839,,0,0,0,0
840,,7,7,660,674
841,,7,0,660,667
842,,0,0,0,0
843,,0,0,0,0
844,,1,1,7,9
845,,1,0,7,8
846,,4,4,211,219
847,,4,0,211,215
848,,1,1,121,123
849,,1,0,121,122
850,,3,4,495,502
851,,3,0,495,498
852,,3,3,78,84
853,,3,0,78,81
854,,2,2,114,118
855,,2,0,114,116
856,,1,1,29,31
857,,1,0,29,30
858,,5,6,713,724
859,,5,0,713,718
860,,3,3,209,215
861,,3,0,209,212
862,,0,0,0,0
863,,0,0,0,0
864,,2,3,393,398
865,,2,0,393,395
866,,0,0,0,0
867,,0,0,0,0
868,,2,3,408,413
869,,2,0,408,410
870,,5,6,590,601
871,,5,0,590,595
872,,1,1,29,31
873,,1,0,29,30
874,,2,2,426,430
875,,2,0,426,428
876,,3,3,78,84
877,,3,0,78,81
878,,0,0,0,0
879,,0,0,0,0
880,,3,3,188,194
881,,3,0,188,191
882,,7,7,536,550
883,,7,0,536,543
884,,3,3,223,229
885,,3,0,223,226
886,,0,0,0,0
887,,0,0,0,0
888,,3,3,310,316
889,,3,0,310,313
890,,2,2,57,61
891,,2,0,57,59
892,,1,1,7,9
893,,1,0,7,8
894,,2,2,20,24
895,,2,0,20,22
896,,1,1,22,24
897,,1,0,22,23
898,,0,0,0,0
